id;Nodo;Contratista;Subcontratista;Fecha;percDsFecPre;percDsFecPost;percUsFecPre(%);percUsFecPost(%);percSnrDs(dB);percSnrUs(dB);percPh;percThroughput(%);QD;QU;QR;
62e8e1b9e502162143033bf4;LZ67B;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00000579248;0.00000005835;0;0;40.4;36.2;9.6641791044776;100;1;1;1;
62e8e1b9e502162143033bf5;MA39C;Pebcom Oeste;PEBCOM S.A.;01-07-2022 00:00:00;0.00000530318;0.0000011097;0;0;40.4;36.7;9.5454545454545;100;0.6;1;0.84;
62e8e1bae502162143033bf6;FV34D;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000036196;0.00000027079;17.4;0;41.7;34.4;9.8809523809524;73.158272251309;1;0.6;0.76;
62e8e1bae502162143033bf7;LP20D;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000030451;0.00000035941;0.1;0;41.5;36.9;9.8333333333333;100;1;1;1;
62e8e1bae502162143033bf8;MA40D;Pebcom Oeste;PEBCOM S.A.;01-07-2022 00:00:00;0.00000059066;0.00000025606;16.3;0;39.2;33.4;9.758064516129;100;1;1;1;
62e8e1bbe502162143033bf9;LA57A;INSERTEL SA;INSERTEL S.A.;01-07-2022 00:00:00;0.00000321836;0.00000331238;1.3;0;41.5;35.3;9.8979591836735;90.259166666667;0.6;1;0.84;
62e8e1bbe502162143033bfa;LZ73C;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00000050626;0.00000022308;12.4;0;41.4;36.7;9.8717948717949;100;1;1;1;
62e8e1bbe502162143033bfb;LP20A;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000003513;0;0.1;0;41.4;35.6;9.8214285714286;100;1;1;1;
62e8e1bbe502162143033bfc;MA41A;Pebcom Oeste;PEBCOM S.A.;01-07-2022 00:00:00;0.00000164682;0.00000088123;28.6;38.6;40;30;9.4444444444444;90.272251308901;1;0.8;0.88;
62e8e1bbe502162143033bfd;LZ72D;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00000054974;0.00000044818;0;0;41.2;36.1;9.7950819672131;99.855759162304;1;1;1;
